index,location_name,location_latitude,location_longitude,location_description,flowDataExist,river,calib_indiv,calib_geo_region,route_id,bmorph,USGS_ID,area_sqkm
187,JFFO,44.7147222,-123.01425,SANTIAM RIVER AUX NEAR JEFFERSON 1W  (NWP),1,tributary,0,0,78022102,1,14189000,4636.0821
188,BDDI,43.539613,-116.0945556,"Boise River blw Diversion Dam nr Boise, ID",0,tributary,0,0,78024293,0,,
189,LCF,47.30194444,-115.0863889,Lower Clark Fork,0,tributary,0,0,78015515,0,,
190,HGH,48.34166667,-114.0083333,Hungry Horse,1,tributary,1,1,78013953,1,12362500,4283.84346
191,SKC,48.52428059,-121.770974,"Skagit River near Concrete, Wa",0,tributary,0,0,78013989,0,,
192,OKAOR,48.9307184,-119.4203419,OKANOGAN RIVER NEAR OROVILLE,0,tributary,0,0,78013823,0,,
193,MALNF,43.9075,-118.1533333,NORTH FORK MALHEUR RIVER,0,tributary,0,0,78024357,0,,
194,ENTAR,47.81846178,-120.4231438,ENTIAT RIVER NEAR ARDENVOIR,0,tributary,0,0,78015749,0,,
195,DUNBB,50.63805556,-117.0472222,DUNCAN RIVER BELOW B.B. CREEK,0,tributary,0,0,78010248,0,,
196,SIMOR,48.9346056,-119.4420105,SIMILKAMEEN RIVER AT OROVILLE,0,tributary,0,0,78013968,0,,
197,BRI,49.32444444,-117.6202778,Brilliant,1,tributary,0,0,78011915,1,08NJ001,49986.807
198,BENO,43.93011715,-121.4119746,"DESCHUTES R AT BENHAM FALLS NR BEND, OREG",1,deschutes,1,0,78024301,1,14064500,4555.79241
199,SKAMO,48.4448278,-122.3354369,SKAGIT RIVER NEAR MOUNT VERNON,0,tributary,0,0,78013981,0,,
200,CLAPL,47.4292,-114.8565333,CLARK FORK RIVER NEAR PLAINS,0,tributary,0,0,78015509,0,,
201,MON,47.6594,-117.4481,Monroe Street,1,tributary,0,0,78015582,1,12422500,11111.0571
202,NOSAN,44.7067885,-122.1011859,NO SANTIAM RIVER BLW BOULDER CRK  NR DETROIT,0,tributary,0,0,78022292,0,,
203,ANTI,43.96694444,-111.6725,"Henrys Fork at St. Anthony, ID",1,tributary,0,0,78024051,1,13050500,4584.2823
204,GLBW,47.83732546,-121.6667809,SKYKOMISH RIVER NEAR GOLD BAR  WA,1,tributary,0,0,78015902,1,12134500,1385.64465
205,SPILL,50.90416667,-116.4058333,SPILLIMACHEEN RIVER NEAR SPILLIMACHEEN,0,tributary,0,0,78010120,0,,
206,CRPW,46.93926375,-123.3143194,Chehalis River at Porter,1,tributary,1,0,78017897,1,12031000,3351.44706
207,LGS,46.5872,-118.0258,Little Goose,1,snake,0,0,78017447,1,13343930,269099.961
208,BOX,48.78111111,-117.4152778,Box,1,pend_oreille,0,0,78013727,1,12396500,64490.751
209,RVC,51.0494,-118.1939,Revelstoke,1,columbia,0,0,78008362,1,08ND011,26417.898
210,ISL,44.41666667,-111.3947222,"Henrys Fork nr Island Park, ID Island Park Inflow",1,tributary,0,0,78022223,1,13042500,1245.78519
211,KEE,47.32122417,-121.3362047,KEECHELUS RESERVOIR - YAK AT MARTIN,1,tributary,0,0,78016805,1,12474500,142.44945
212,WINDR,45.7267837,-121.794799,WIND RIVER NEAR CARSON,0,tributary,0,0,78020263,0,,
213,CAB,48.08805556,-116.0727778,Cabinet,1,pend_oreille,0,0,78013761,1,12392000,57168.84927
214,CRNIC,51.24388889,-116.9116667,COLUMBIA RIVER AT NICHOLSON,0,tributary,0,0,78008413,0,,
215,SWAI,43.2918313,-116.4209492,"Snake River nr Murphy, ID",1,snake,1,0,78024019,1,13172500,108520.581
216,COWKO,46.4662217,-122.1089856,COWLITZ RIVER NEAR KOSMOS,0,tributary,0,0,78017944,0,,
217,BFKY,43.83805556,-110.4408333,"Buffalo Fork nr Moran, WY",0,tributary,0,0,78024601,0,,
218,YAKMA,46.23124238,-119.9994858,YAKIMA RIVER AT MABTOM,0,tributary,0,0,78017614,0,,
219,STILL,48.31905278,-114.3871583,STILLWATER RIVER NEAR WHITEFISH,0,tributary,0,0,78014126,0,,
220,ALD,46.8025,-122.3102778,Alder,0,tributary,0,0,78018047,0,,
221,RRH,47.5244,-120.3011,Rocky Reach,1,columbia,0,0,78015466,1,12453700,227401.122
222,CISPU,46.44705689,-121.8639783,CISPUS RIVER NEAR RANDLE,0,tributary,0,0,78018030,0,,
223,BITWF,45.72482778,-114.2822944,WEST FORK BITTERROOT RIVER NEAR CONNER,0,tributary,0,0,78020300,0,,
224,LISPO,47.78100099,-117.4963338,LITTLE  SPOKANE RIVER NEAR DARTFORD,0,tributary,0,0,78015649,0,,
225,WENPE,47.5831777,-120.6195306,WENATCHEE RIVER AT PESHASTIN,0,tributary,0,0,78015690,0,,
226,SALY,43.0797222,-111.0372222,"Salt River ab reservoir nr Etna, WY",0,tributary,0,0,78024173,0,,
227,ROCKC,46.7223361,-113.683061,ROCK CREEK NEAR CLINTON,0,tributary,0,0,78017683,0,,
228,ALB,44.6333,-123.1,Albany,1,tributary,0,0,78021743,1,14174000,12535.5516
229,TRB,44.2681,-122.0486,Trail Bridge,0,tributary,0,0,78022343,0,,
230,BITDA,45.97205,-114.1412333,BITTERROOT RIVER NEAR DARBY,0,tributary,0,0,78019935,0,,
231,WHYCHUS,44.2337268,-121.5669877,"WHYCHUS CREEK NEAR SISTERS, OR",1,tributary,0,0,78023007,1,14075000,116.54955
232,COEUR,47.7061111,-115.9791667,NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD,0,tributary,0,0,78015712,0,,
233,GRAO,42.43039607,-123.3178365,Grants Pass,0,tributary,0,0,78026687,0,,
234,TUMO,44.08761679,-121.3728117,"TUMALO CREEK BL TUMALO FEED CANAL NR BEND, OR",1,tributary,0,0,78022888,1,14073001,121.72953
235,RAWW,46.5323332,-121.9567607,COWLITZ RIVER AT RANDALL,1,tributary,0,0,78018000,0,14231000,1401.18459
236,WTLO,44.48472222,-122.8166667,SOUTH SANTIAM RIVER AT WATERLOO  (NWP),1,tributary,0,0,78022154,1,14187500,1657.5936
237,FLATW,47.9790972,-113.5606833,SOUTH FORK OF FLATHEAD RIVER ABOVE TWIN CREEK NEAR HUNGRY HORSE,0,tributary,0,0,78015843,0,,
238,TEAI,43.9272222,-111.6138889,"Teton River nr St. Anthony, ID",1,tributary,1,1,78024481,1,13055000,2268.83124
239,BLADA,42.81527778,-111.5066667,BLACKFOOT RIVER AT BLACKFOOT DAM,0,tributary,0,0,78026978,0,,
240,CFM,48.36194444,-114.1838889,Columbia Falls,1,tributary,0,0,78013772,1,12363000,11561.71536
241,PARW,46.497222,-120.441667,"YAKIMA RIVER NEAR PARKER, WA",1,yakima,0,0,78017626,1,12477000,486.91812
242,TUCAN,46.5054217,-118.0663393,TUCANNON RIVER NEAR STARBUCK,0,tributary,0,0,78017946,0,,
243,HRJW,43.2985408,-110.6701957,"Hoback River nr Jackson, WY",0,tributary,0,0,78024552,0,,
244,JOHND,45.5876278,-120.4094919,JOHN DAY RIVER AT MCDONALD FERRY,0,tributary,0,0,78019727,0,,
245,GREY,43.14305556,-110.9769444,"Greys River ab reservoir nr Alpine, WY",0,tributary,0,0,78024341,0,,
246,DWR,46.51527778,-116.2961111,Dworshak,1,tributary,1,1,78017689,1,13341000,6319.5756
247,WENPL,47.7628995,-120.6662039,WENATCHEE RIVER NEAR PLAIN,0,tributary,0,0,78015711,0,,
248,BFTI,43.125278,-112.518889,"Snake River nr Blackfoot, ID",1,snake,1,0,78026492,1,13069500,29292.7869
249,BSHI,43.26277778,-112.0477778,"Blackfoot River nr Shelley, ID",1,tributary,1,0,78024156,1,13066000,2323.22103
250,MILI,42.52805556,-114.0183333,"Snake River at Milner, ID",1,snake,1,0,78026465,1,13087995,44496.0282
251,FLAWE,48.49551667,-114.0102083,MIDDLE FORK FLATHEAD RIVER NEAR WEST GLACIER,0,tributary,0,0,78013776,0,,
252,HRFW,47.80674726,-124.2510329,HOH RIVER AT US HIGHWAY 101 NEAR FORKS,1,tributary,0,0,78015888,1,12041200,655.26747
253,WEII,44.24555556,-116.9808333,"Snake River nr Weiser, ID",1,snake,1,0,78021677,1,13269000,179227.308
254,MAY,46.5022,-122.6011,Mayfield,1,tributary,0,0,78017902,1,14238000,3625.986
255,SFNI,43.55055556,-115.7219444,SOUTH FORK BOISE AT NEAL BRIDGE,0,tributary,0,0,78024461,0,,
256,WAT,49.0039,-117.6114,Waneta,1,tributary,0,0,78011902,0,,66821.742
257,BULLY,43.95821569,-117.34268,BULLY CREEK NEAR VALE,0,tributary,0,0,78024059,0,,
258,CULO,44.4987293,-121.3211558,"DESCHUTES RIVER NEAR CULVER, OR",1,deschutes,0,0,78021871,1,14076500,7005.92295
259,SKHI,43.0022222,-115.2025,"Snake River at King Hill, ID",1,snake,1,0,78026439,1,13154500,92721.642
260,BLADR,46.9794944,-113.092186,NORTH FORK OF BLACKFOOT RIVER ABOVE DRY GULCH NEAR OVANDO,0,tributary,0,0,78017593,0,,
261,JOCDI,47.31211389,-114.2973778,JOCKO RIVER AT DIXON,0,tributary,0,0,78015915,0,,
262,SILSP,46.1794972,-112.780561,SILVER BOW CREEK AT WARM SPRINGS,0,tributary,0,0,78017510,0,,
263,MOS,46.5353,-122.4236,Mossyrock,1,tributary,1,1,78017926,1,14235000,3009.56838
264,ELKFE,49.51,-115.0713889,ELK RIVER AT FERNIE,0,tributary,0,0,78012165,0,,
265,SALSM,45.1836111,-113.8952778,SALMON RIVER AT SALMON,0,tributary,0,0,78019850,0,,
266,HARO,44.26777778,-123.1669444,WILLAMETTE RIVER AT HARRISBURG  (NWP),1,willamette,0,0,78021760,1,14166000,8857.7658
267,BULWA,49.49305556,-115.3638889,BULL RIVER NEAR WARDENER,0,tributary,0,0,78012167,0,,
268,SUV,48.8527001,-117.2899644,Sullivan Lake,1,tributary,0,0,78014299,1,12397500,315.97878
269,OWY,43.65444444,-117.2558333,Owyhee Reservoir Inflow,1,tributary,1,1,78024072,1,13183000,28904.2884
270,CLERI,46.96660078,-113.378687,CLEARWATER RIVER AT CLEARWATER,0,tributary,0,0,78017790,0,,
271,KALAR,46.0470581,-122.8376072,KALAMA RIVER NEAR KALAMA,1,tributary,0,0,78017798,1,14223600,523.17798
272,METPA,48.0773639,-119.9850723,METHOW RIVER NEAR PATEROS,0,tributary,0,0,78014092,0,,
273,THOMP,47.5918583,-115.229536,THOMPSON RIVER NEAR THOMPSON FALLS,0,tributary,0,0,78015705,0,,
274,WILNF,43.80138889,-122.5513889,MF WILLAMETTE RIVER BLW N FORK  NR OAKRIDGE,0,tributary,0,0,78024531,0,,
275,TMY,45.11373009,-121.8150775,Timothy Meadows,0,tributary,0,0,78020507,0,,
276,ALF,48.1822,-117.0333,Albeni Falls,1,pend_oreille,1,0,78013743,1,12395500,62677.758
277,ARD,49.3394,-117.7719,Hugh Keenleyside (Arrow),1,columbia,1,0,78011933,1,,36518.859
278,BOMI,43.6848841,-116.5737442,"Boise River nr Middleton, ID",1,tributary,0,0,78024284,1,13210050,7498.02105
279,PARI,43.78166667,-116.9727778,"Boise River nr Parma, ID",1,boise,1,0,78024271,1,13213000,10282.2603
280,STEHE,48.32958017,-120.6917668,STEHEKIN RIVER AT STEHEKIN,0,tributary,0,0,78014191,0,,
281,GOR,48.69805556,-121.2069444,Gorge,0,tributary,0,0,78014004,0,,
282,RYGO,42.43734597,-122.9872678,Raygold,0,tributary,0,0,78026699,0,,
283,BEAVE,51.50972222,-117.4616667,BEAVER RIVER NEAR THE MOUTH,0,tributary,0,0,78008705,0,,
284,KIOW,46.25346748,-119.4780794,"YAKIMA RIVER AT KIONA, WA",1,yakima,1,0,78017609,1,12510500,14542.79385
285,SHA,48.54,-121.7419,Lower Baker,0,tributary,0,0,78014185,0,,
286,YAMMC,45.2056719,-123.1826047,SOUTH YAMHILL RIVER AT MCMINNVILLE,0,tributary,0,0,78019864,0,,
287,WOODGOOD,42.88638889,-114.8030556,"Malad River nr Gooding, ID",1,tributary,1,0,78026520,1,13152500,7744.0701
288,SAN,45.4490094,-122.2450885,BULL RUN,0,tributary,0,0,78020148,0,,
289,PRPI,44.0422222,-116.9252778,"Payette River nr Payette, ID",1,payette,1,0,78021830,1,13251000,8391.5676
290,JDA,45.71472222,-120.6936111,John Day,1,columbia,1,0,78019681,1,14048006,585337.74
291,LEONI,48.617719,-116.0474073,KOOTENAI RIVER AT LEONIA,0,tributary,0,0,78013849,0,,
292,PRD,46.6289,-119.8636,Priest Rapids,1,columbia,1,0,78017419,1,12472800,248639.04
293,WILPO,45.5175,-122.6691667,WILLAMETTE RIVER AT PORTLAND,0,tributary,0,0,78019746,0,,
294,SFBOI,43.4958333,-115.3080556,SF BOISE RIVER NR FEATHERVILLE,0,tributary,0,0,78024520,0,,
295,CRAO,43.75345177,-121.7836399,"DESCHUTES R BL CRANE PRAIRIE RES NR PINE, OREG",1,tributary,0,0,78024325,1,14054000,657.85746
296,WHT,45.24166667,-121.0938889,White River - Wapinitia,0,tributary,0,0,78020161,0,,
297,CHJ,47.99444444,-119.6347222,Chief Joseph,1,columbia,0,0,78015475,1,12438000,195285.246
298,SNYI,43.8761111,-116.9825,"Snake River at Nyssa, OR",0,tributary,0,0,78024001,0,,
299,CLKEN,46.21652359,-119.0997323,COLUMBIA RIVER AT CLOVER ISLAND AT KENNEWICK,0,tributary,0,0,78017402,0,,
300,LOP,43.9347,-122.8333,Lookout Point Inflow,1,tributary,1,1,78024498,1,,
301,SALMF,45.2936111,-114.5963889,MIDDLE FORK SALMON RIVER AT MOUTH NR SHOUP,0,tributary,0,0,78019888,0,,
302,ROS,48.7328,-121.0672,Ross,1,tributary,1,1,78014012,1,12175000,2587.40001
303,CHL,47.83472222,-120.0119444,Chelan,1,tributary,1,1,78015651,1,12452500,2393.15076
304,GPR,44.4493,-122.5497,Green Peter,1,tributary,1,1,78022298,1,14186500,743.32713
305,WAN,46.8881,-119.9836,Wanapum,1,columbia,0,0,78017428,1,12464612,234912.093
306,MOLAL,45.24428767,-122.687314,MOLALLA RIVER NEAR CANBY,0,tributary,0,0,78019952,0,,
307,BUM,46.87261385,-121.292586,BUMPING RESERVOIR,1,tributary,0,0,78018389,1,12488000,183.88929
308,REREG,45.6220678,-120.9056203,DESCHUTES RIVER AT MOODY  NEAR BIGGS,0,tributary,0,0,78019827,0,,
309,SPD,46.4486,-116.8264,Spalding,1,tributary,0,0,78017661,1,13342500,24786.2043
310,FALI,44.0686111,-111.2413889,"Falls River nr Squirrel, ID",1,tributary,0,0,78022257,1,13047500,852.10671
311,ORTW,47.03926867,-122.2078925,"Puyallup River near Orting, Wa",1,tributary,1,0,78015643,1,12093500,445.47828
312,WILLA,45.2845625,-122.9614893,WILLAMETTE RIVER AT NEWBERG,0,tributary,0,0,78019760,0,,
313,METWI,48.4734787,-120.1773063,METHOW RIVER AT WINTHROP,0,tributary,0,0,78014125,0,,
314,VAN,45.62067265,-122.6734306,COLUMBIA RIVER AT VANCOUVER,0,tributary,0,0,78019655,0,,
315,SHYI,43.41305556,-112.135,"Snake River nr Shelley, ID",1,snake,0,0,78024037,1,13060000,25356.0021
316,MOREA,48.99916667,-116.1797222,PORTNEUF RIVER AT POCATELLO ID,0,tributary,0,0,78013977,0,,
317,DOR,43.78472222,-122.9847222,Dorena,1,tributary,1,1,78024645,1,14155500,699.2973
318,PUY,47.20843358,-122.3270652,Purallup River at Puyallup,0,tributary,0,0,78015559,0,,
319,MALHEUR,43.9875,-117.2188889,"Malheur River blw Nevada Dam nr Vale, OR",1,tributary,1,0,78024058,1,13233300,10049.1612
320,HCR,43.7183,-122.4339,Hills Creek,1,tributary,0,0,78024606,1,14145500,1015.27608
321,BDY,48.98722222,-117.3475,Boundary,1,pend_oreille,1,0,78011906,1,12398600,65267.748
322,TOUW,46.33388889,-122.8333333,TOUTLE RIVER AT TOWER ROAD NEAR SILVER LAKE,1,tributary,1,0,78017968,0,14242580,1284.63504
323,MUC,49.1778,-117.7164,Murphy Creek,1,columbia,1,0,78011912,1,,88098.50985
324,SANRE,48.47738367,-118.7300255,SANPOIL RIVER AB 13 MILE CREEK NEAR REPUBLIC,0,tributary,0,0,78014209,0,,
325,OAK,45.0712319,-121.9406345,Oak Grove,0,tributary,0,0,78020342,0,,
326,MMD,47.1467703,-121.8601066,White River at Mud Mountain,1,tributary,1,0,78015719,1,12097850,971.24625
327,MEHO,44.7890109,-122.6186967,NORTH SANTIAM RIVER AT MEHAMA  (NWP),1,tributary,0,0,78022131,1,14183000,1693.85346
328,GLENW,46.08873348,-121.2595207,KLICKITAT RIVER NEAR GLENWOOD,0,tributary,0,0,78018037,0,,
329,HFAI,44.0697222,-111.5105556,"Henrys Fork nr Ashton, ID",1,tributary,1,0,78022109,1,13046000,2841.21903
330,GRSY,44.123767,-110.81805,Grassy Lake Inflow,1,tributary,0,0,78023041,1,13046500,25.8999
331,YGVW,46.21679857,-119.9178163,"YAKIMA RIVER AT EUCLID RD BR NEAR GRANDVIEW, WA",1,yakima,0,0,78017613,1,12509050,13985.946
332,KLICK,45.84305556,-121.0580556,Little KLICKITAT RIVER NEAR WAHKIACUS,0,tributary,0,0,78020231,0,,
333,BIGI,43.66055556,-116.2791667,"Boise River at Glenwood Bridge nr Boise, ID",1,tributary,0,0,78024287,1,13205995,
334,WHM,47.0114831,-123.6554417,"Wynoochee River above black Creek near Montesano, WA",0,tributary,0,0,78015949,0,,
335,WWA,46.0278,-118.7286,Walla Walla,0,tributary,0,0,78017581,0,,
336,IHR,46.25055556,-118.8819444,Ice Harbor,1,snake,1,0,78017434,1,13353000,281013.915
337,PFL,47.7031,-116.9778,"Post Falls, Lake Coeur D'Alene Inflow",1,tributary,1,1,78015586,1,12419000,9945.5616
338,MALAB,43.57444444,-118.2097222,MALHEUR RIVER ABOVE NORTH FORK MALHEUR RIVER,0,tributary,0,0,78024308,0,,
339,AUGW,46.53596038,-120.4733968,AHTANUM CREEK AT UNION GAP,1,tributary,1,0,78017976,1,12502500,448.06827
340,MORI,43.64805556,-115.9897222,"Mores Creek in the vicinity of Boise, ID",0,tributary,0,0,78024672,0,,
341,BRN,44.83638889,-116.8994444,Brownlee,1,snake,0,0,78021665,1,13289710,188007.3741
342,WRB,47.17426836,-122.0203897,White River at Buckley,0,tributary,0,0,78015701,0,,
343,STREG,47.2967111,-115.122625,St. REGIS RIVER NEAR St. REGIS,0,tributary,0,0,78015908,0,,
344,YAL,45.9639,-122.3314,Yale,0,tributary,0,0,78019919,0,,
345,COR,49.46694444,-117.4669444,Corra Linn,1,tributary,0,0,78011959,1,08NJ158,45583.824
346,GOLDS,51.66833333,-118.5969444,GOLDSTREAM RIVER BELOW OLD CAMP CREEK,0,tributary,0,0,78008661,0,,
347,WAV,44.07,-122.77,Walterville,0,tributary,0,0,78021947,0,,
348,PRIPR,48.2197222,-116.9141667,PRIEST RIVER NEAR PRIEST RIVER,0,tributary,0,0,78013896,0,,
349,SALSA,49.04694444,-117.2936111,SALMO RIVER NEAR SALMO,0,tributary,0,0,78012204,0,,
350,VIDO,44.1248487,-122.47062,MCKENZIE RIVER NEAR VIDA 5E  (NWP),1,tributary,1,0,78021960,1,14162500,2408.6907
351,BLKI,43.0058,-111.7156,Blackfoot Reservoir Inflow,0,tributary,0,0,78026636,0,,
352,TULPR,49.4575,-120.5180556,TULAMEEN RIVER AT PRINCETON,0,tributary,0,0,78012310,0,,
353,TOUCH,46.26888889,-118.2211111,TOUCHET RIVER AT BOLLES,0,tributary,0,0,78018055,0,,
354,ROCHI,45.74777778,-120.4366667,ROCK CREEK AT OLD HIGHWAY 8 BRIDGE,0,tributary,0,0,78020375,0,,
355,LRCW,46.06039127,-121.984531,LEWIS RIVER NEAR MUDDY RIVER NEAR COUGAR,0,tributary,0,0,78018073,0,14216000,587.92773
356,WILCO,47.6629263,-118.9305666,WILSON CREEK BELOW CORBET DRAW NEAR ALMIRA,0,tributary,0,0,78015942,0,,
357,TWISP,48.3698671,-120.148693,TWISP RIVER NEAR TWISP,0,tributary,0,0,78014186,0,,
358,LIB,48.4117,-115.3094,Libby,1,tributary,1,1,78013865,1,12301933,23271.06015
359,OKANO,48.632375,-119.4617229,OKANOGAN RIVER NEAR TONASKET,0,tributary,0,0,78013812,0,,
360,WEN,45.34638889,-118.1238889,Grande Ronde,0,tributary,0,0,78020167,0,,
361,LARMA,50.26305556,-116.9672222,LARDEAU RIVER AT MARBLEHEAD,0,tributary,0,0,78010424,0,,
362,ASOTI,46.34071536,-117.0559898,ASOTIN CREEK AT ASOTIN,0,tributary,0,0,78018074,0,,
363,DEBO,44.08289525,-121.30781,"DESCHUTES RIVER BELOW BEND, OREG",1,deschutes,0,0,78021903,1,14070500,4918.39101
364,BRUNEAU,42.7711111,-115.7202778,"Bruneau River nr Hot Spring, ID",1,tributary,1,0,78026690,1,13168500,6811.6737
365,SLM,44.9442863,-123.0428742,Salem,1,willamette,1,0,78021738,1,14191000,18855.1272
