index,location_name,location_latitude,location_longitude,location_description,flowDataExist,river,calib_indiv,calib_geo_region,route_id,bmorph,USGS_ID,area_sqkm
366,FLINT,46.62872778,-113.1506917,FLINT CREEK NEAR DRUMMOND,0,tributary,0,0,78017997,0,,
367,QUIQU,47.4575863,-123.8893446,QUINAULT RIVER AT QUINAULT LAKE,0,tributary,0,0,78015953,0,,
368,HANGM,47.6526688,-117.449658,HANGMAN CREEK AT SPOKANE,0,tributary,0,0,78015836,0,,
369,TDA,45.6075,-121.1722,The Dalles,1,columbia,1,0,78019675,1,14105700,613827.63
370,BITCO,45.9306694,-114.1231028,EAST FORK BITTERROT RIVER NEAR CONNER,0,tributary,0,0,78019949,0,,
371,PRVO,44.1131815,-120.7955699,"CROOKED RIVER NEAR PRINEVILLE, OR",1,tributary,1,1,78021901,1,14080500,6992.973
372,COWCA,46.2748332,-122.9145587,COWLITZ RIVER AT CASTLE ROCK,0,tributary,0,0,78017888,0,,
373,ILLEC,51.01361111,-118.0825,ILLECILLEWAET RIVER AT GREELEY,0,tributary,0,0,78010220,0,,
374,TIDO,44.385954,-123.831778,"ALSEA RIVER NR TIDEWATER, OR",1,tributary,1,0,78022217,1,14306500,865.05666
375,BGCW,47.784536,-122.97961,"BIG QUILCENE RIVER BELOW DIVERSION NR QUILCENE, WA",1,tributary,0,0,78016323,0,12052210,127.945506
376,CALW,47.960077,-124.392987,"CALAWAH RIVER NR FORKS, WA",1,tributary,0,0,78015753,0,12043000,334.10871
377,CSCW,48.526231,-121.415405,"CASCADE RIVER AT MARBLEMOUNT, WA",1,tributary,0,0,78014276,0,12182500,445.47828
378,DOTW,46.617324,-123.277644,"CHEHALIS RIVER NR DOTY, WA",1,tributary,0,0,78018208,1,12020000,292.66887
379,MORW,47.409444,-121.722778,Chester Morse Reservoir Inflow,1,tributary,0,0,78016113,1,,
380,DKBW,47.683981,-123.011551,"DUCKABUSH RIVER NEAR BRINNON, WA",1,tributary,0,0,78017045,1,12054000,172.234335
381,DRSW,48.014258,-123.132677,"DUNGENESS RIVER NR SEQUIM, WA",1,tributary,0,0,78014055,1,12048000,404.03844
382,ELWW,48.054811,-123.583246,"ELWHA RIVER AT MCDONALD BR NR PT ANGELES, WA",1,tributary,0,0,78014054,1,12045500,696.70731
383,GEEW,47.153441,-121.635654,"GREENWATER RIVER AT GREENWATER, WA",1,tributary,0,0,78016441,0,12097500,190.364265
384,ISSW,47.552323,-122.047898,"ISSAQUAH CREEK NR MOUTH NR ISSAQUAH, WA",1,tributary,0,0,78016206,1,12121600,146.593434
385,SYCO,45.47762,-122.507869,JOHNSON CREEK AT SYCAMORE,1,tributary,0,0,78021167,1,14211500,69.411732
386,MFNW,48.779283,-122.106543,"MF NOOKSACK RIVER NR DEMING, WA",1,tributary,0,0,78014376,0,12208000,189.846267
387,PRSO,42.730405,-122.516425,Rogue River below Prospect,1,tributary,0,0,78026741,1,14330000,981.60621
388,AGNO,42.580387,-124.059533,"ROGUE RIVER NR AGNESS, OR",1,rogue,1,0,78026497,1,14372300,10201.97061
389,NSSW,48.677613,-122.166545,"SF NOOKSACK RIVER AT SAXON BRIDGE, WA",1,tributary,0,0,78014200,0,12210000,334.10871
390,SILO,44.715117,-123.887335,"SILETZ RIVER AT SILETZ, OR",1,tributary,1,0,78022282,1,14305500,523.17798
391,MPLO,44.062343,-123.883166,"SIUSLAW RIVER NR MAPLETON, OR",1,tributary,0,0,78021723,0,14307620,1522.91412
392,BCDW,46.772046,-122.924298,"SKOOKUMCHUCK RIVER NR BUCODA, WA",1,tributary,0,0,78018080,1,12026400,290.07888
393,TLMO,45.47594,-123.725121,WILSON RIVER NR TILLAMOOK,1,tributary,1,0,78020313,1,14301500,416.98839
394,YRPW,46.212436,-119.765683,YAKIMA RIVER NEAR PROSSER WA,1,yakima,0,0,78017612,1,,
395,YAQO,44.658056,-123.8375,"YAQUINA RIVER NEAR CHITWOOD,OR",1,tributary,0,0,78022425,0,14306030,183.88929
396,FSSO,45.703999,-123.755405,"NEHALEM RIVER NR FOSS, OR",1,tributary,1,0,78019756,1,14301000,1727.52333
397,BEAO,45.26649446,-123.847061,"NESTUCCA RIVER NEAR BEAVER, OR",1,tributary,0,0,78020196,0,14303600,466.1982
398,NEWW,46.620104,-122.945126,"NEWAUKUM RIVER NR CHEHALIS, WA",1,tributary,0,0,78018087,0,12025000,401.44845
399,KIDW,46.371775,-122.578999,NF TOUTLE RIVER BELOW SRS NR KID VALLEY,1,tributary,0,0,78018027,0,14240525,378.13854
400,NISW,46.752608,-122.083719,"NISQUALLY RIVER NR NATIONAL, WA",1,tributary,0,0,78018169,1,12082500,344.46867
401,NKSW,48.844832,-122.589339,"NOOKSACK RIVER AT FERNDALE, WA",1,tributary,1,0,78013830,0,12213100,2035.73214
402,PORTNEUF,42.871667,-112.468056,"Portneuf River at Pocatello, ID",1,tributary,1,0,78026697,1,,
403,ELEW,46.903716,-122.035109,"PUYALLUP RIVER NR ELECTRON, WA",1,tributary,0,0,78015646,1,12092000,240.351072
404,REXW,47.350662,-121.663158,"REX RIVER NR CEDAR FALLS, WA",1,tributary,0,0,78016735,1,12115500,34.705866
405,SQUW,47.545102,-121.842336,"SNOQUALMIE RIVER NEAR SNOQUALMIE, WA",1,tributary,0,0,78015903,1,12144500,971.24625
406,SOLW,48.044251,-123.959092,"SOLEDUCK RIVER NEAR FAIRHOLM, WA",1,tributary,0,0,78013967,0,12041500,217.041162
407,SCHW,46.545833,-123.131944,"SOUTH FORK CHEHALIS RIVER AT BOISTFORT, WA",1,tributary,0,0,78018179,0,12021000,124.31952
408,SSUW,47.340369,-123.280159,"SOUTH FORK SKOKOMISH RIVER NEAR UNION, WA",1,tributary,0,0,78016149,0,12060500,197.616237
409,SPEW,47.139546,-122.092614,"SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA",1,tributary,0,0,78016138,0,12095000,205.904205
410,THNW,48.672629,-121.072896,"THUNDER CREEK NEAR NEWHALEM, WA",1,tributary,0,0,78014338,1,12175500,271.94895
411,TLRW,47.693889,-121.687778,TOLT RESERVOIR INFLOW,1,tributary,0,0,78017082,1,,
412,TRAO,45.446218,-123.710397,"TRASK RIVER ABV CEDAR CREEK, NR TILLAMOOK",1,tributary,1,0,78020352,0,14302480,404.03844
413,EKTO,43.58595,-123.555373,"UMPQUA RIVER NR ELKTON, OR",1,tributary,1,0,78024139,1,14321000,9538.93317
