Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BM,2002,5,May 2002,NA,NA,NA,0.09,0.013,171.5,0.018333333333333333,87,0.4,0.048666666666666664,10.55,8.095,13.52,0.103
BM,2002,6,Jun 2002,NA,NA,NA,0.04,0.02,156,0.013,78,0.3,0.065,14.9,7.68,32.8,0.06
BM,2002,7,Jul 2002,NA,NA,NA,0.05666666666666667,0.03666666666666667,251,0.008,127,0.30000000000000004,0.019,22.2,8.38,2.6,0.09333333333333334
BM,2002,8,Aug 2002,NA,NA,NA,0.15333333333333332,0.07666666666666667,285,0.025666666666666667,145,0.5333333333333333,0.06866666666666667,16.8,7.95,22.4,0.22999999999999998
BM,2002,9,Sep 2002,NA,NA,NA,0.11,0.045,319,0.007,161,0.3,0.031,13.7,8.29,1.96,0.155
BM,2003,6,Jun 2003,NA,NA,NA,0.06,0.031,195.05,0.016,103.94999999999999,0.35,0.0385,14.55,7.88,8.459999999999999,0.091
BM,2003,7,Jul 2003,NA,NA,NA,0.09,0.018,260,0.07050000000000001,138.39999999999998,0.35,0.087,19.65,8.025,2.58,0.108
BM,2003,8,Aug 2003,NA,NA,NA,0.04,0.047,281,0.01,149.23333333333335,0.2,0.027,18,7.996666666666667,2.4899999999999998,0.087
BM,2003,9,Sep 2003,NA,NA,NA,0.025,0.06025,321.1666666666667,0.018666666666666665,170.7,0.275,0.034,13.433333333333334,8.19,2.6733333333333333,0.08524999999999999
BM,2004,5,May 2004,NA,NA,NA,0.01,0.032,177.5,0.023,NA,NA,0.045,10.8,7.93,3.57,0.042
BM,2004,6,Jun 2004,NA,NA,NA,0.016666666666666666,0.023666666666666666,186.73333333333335,0.005,NA,0.13333333333333333,0.02666666666666667,14.133333333333333,8.11,8.35,0.04033333333333333
BM,2004,7,Jul 2004,NA,NA,NA,0.02,0.035,251,0.01,NA,0.30000000000000004,0.04,19.65,8.315000000000001,7.675000000000001,0.05500000000000001
BM,2004,8,Aug 2004,NA,NA,NA,0.02,0.040666666666666663,268.5,0.01633333333333333,NA,0.2,0.03933333333333333,15.7,8.315000000000001,4.635,0.06066666666666666
