Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BN,2000,7,Jul 2000,NA,NA,NA,0.04,NA,545,0.007,272,0.3,0.025,21.4,8.66,5.38,NA
BN,2000,8,Aug 2000,NA,NA,NA,NA,NA,576,0.004,288,NA,0.014,22,8.63,NA,NA
BN,2000,9,Sep 2000,NA,NA,NA,0.05,NA,588,0.006,394,0.2,0.028,20.5,8.14,5.2,NA
BN,2000,10,Oct 2000,NA,NA,NA,0.01,NA,551,0.017,275,0.5,0.074,13.1,8.61,13.5,NA
BN,2000,11,Nov 2000,NA,NA,NA,0.02,1.93,468,0.008,234,0.1,0.026,2.8,8.48,4.49,1.95
BN,2000,12,Dec 2000,NA,NA,NA,NA,0.18,520,0.004,260,0.1,0.023,2.8,8.48,2.16,NA
BN,2001,1,Jan 2001,NA,NA,NA,NA,0.1,468,0.004,235,0.2,0.019,3.3,8.6,NA,NA
BN,2001,2,Feb 2001,NA,NA,NA,0.05,0.165,530,0.004,265,0.2,0.028,1.6,8.59,NA,0.21500000000000002
BN,2001,4,Apr 2001,NA,NA,NA,NA,0.0485,479,0.01,NA,0.3333333333333333,0.059666666666666666,9.7,8.58,9.025,NA
BN,2001,5,May 2001,NA,NA,NA,NA,NA,358,0.013,179,0.3,0.048,15.1,8.66,NA,NA
BN,2001,6,Jun 2001,NA,NA,NA,0.03,0.051,405,0.013,204,0.3,0.078,17.1,8.55,NA,0.08099999999999999
BN,2001,7,Jul 2001,NA,NA,NA,NA,NA,505,0.036,253,0.5,0.121,17.2,8.19,NA,NA
BN,2001,8,Aug 2001,NA,NA,NA,NA,0.016,517,0.004,259,0.2,0.01,17.1,8.23,0.88,NA
BN,2001,9,Sep 2001,NA,NA,NA,NA,NA,534,0.003,268,0.2,0.013,14,7.46,2.41,NA
BN,2001,10,Oct 2001,NA,NA,NA,NA,0.006,496,0.011,248,0.5,0.024,7.8,8.11,8.3,NA
BN,2001,11,Nov 2001,NA,NA,NA,0.01,0.027,491,0.007,246,0.2,0.033,7.5,8.47,7.01,0.037
BN,2001,12,Dec 2001,NA,NA,NA,0.04,0.122,506,0.006,254,0.3,0.024,1.2,8.07,3.96,0.162
BN,2002,1,Jan 2002,NA,NA,NA,0.02,0.139,498,0.009,250,NA,0.033,1.1,8.91,4.49,0.159
BN,2002,3,Mar 2002,NA,NA,NA,0.02,0.046,522,0.006,262,0.2,0.027,3.7,8.39,4.2,0.066
BN,2002,4,Apr 2002,NA,NA,NA,0.02,0.208,460.5,0.0235,232.5,0.65,0.16249999999999998,9.25,8.2,23.61,0.22799999999999998
BN,2002,5,May 2002,NA,NA,NA,0.02,NA,374,0.021,189,0.4,0.068,15.3,7.92,13.5,NA
BN,2002,6,Jun 2002,NA,NA,NA,0.02,0.01,365,0.019,185,0.8,0.037,18.3,8.67,16.5,0.03
BN,2002,7,Jul 2002,NA,NA,NA,0.01,NA,470,0.019,237,0.2,0.044,23.7,8.4,8.26,NA
BN,2002,8,Aug 2002,NA,NA,NA,0.015,NA,526,0.008,263,0.15000000000000002,0.027,20.2,9.17,1.8,NA
BN,2002,9,Sep 2002,NA,NA,NA,NA,NA,535,0.002,272,NA,0.017,15.6,8.15,1.67,NA
BN,2003,6,Jun 2003,NA,NA,NA,0.02,0.0405,360.5,0.028999999999999998,192.6,0.35,0.07200000000000001,14.8,7.855,9.66,0.0605
BN,2003,7,Jul 2003,NA,NA,NA,0.02,0.004666666666666667,516.75,0.012333333333333333,274.25,0.33333333333333337,0.026,19.8,8.084999999999999,1.5899999999999999,0.024666666666666667
BN,2003,8,Aug 2003,NA,NA,NA,0.01,0.005,543,0.0035,288,0.26666666666666666,0.016666666666666666,18.066666666666666,7.933333333333334,2.9433333333333334,0.015
BN,2003,9,Sep 2003,NA,NA,NA,0.01,0.0035,561.3333333333334,0.006333333333333333,298.3333333333333,0.3666666666666667,0.03166666666666667,14,8.233333333333333,6.5633333333333335,0.0135
BN,2004,5,May 2004,NA,NA,NA,NA,NA,450,0.006,NA,0.1,0.019,12.1,8.12,1.42,NA
BN,2004,6,Jun 2004,NA,NA,NA,0.01,NA,425.6666666666667,0.013000000000000001,NA,0.5,0.05325,15.133333333333333,8.216666666666667,8.1466666666666665,NA
BN,2004,7,Jul 2004,NA,NA,NA,0.02,0.028,515.5,0.010499999999999999,NA,0.44999999999999996,0.0325,19.3,8.3,3.8249999999999997,0.048
BN,2004,8,Aug 2004,NA,NA,NA,NA,0.01,546,0.011,NA,0.30000000000000004,0.032,16.65,8.18,3.14,NA
BN,2004,9,Sep 2004,NA,NA,NA,0.01,NA,524,0.013999999999999999,NA,0.30000000000000004,0.0415,12.35,8.135,6.21,NA
BN,2005,1,Jan 2005,NA,NA,NA,NA,0.246,543,0.01,NA,0.35,0.058499999999999996,4,7.47,14.9,NA
BN,2005,2,Feb 2005,NA,NA,NA,NA,0.115,490,0.004,NA,0.3,0.036,2.7,8.29,10.9,NA
BN,2005,3,Mar 2005,NA,NA,NA,NA,0.008,447,0.01,NA,0.3,0.045,8,8.49,10.1,NA
BN,2005,4,Apr 2005,NA,NA,NA,NA,0.005,479,0.009,NA,0.3,0.038,8.6,8.53,8.8,NA
BN,2005,5,May 2005,NA,NA,NA,NA,0.0805,481,0.028,NA,0.6,0.112,14,7.78,33.3,NA
BN,2005,6,Jun 2005,NA,NA,NA,0.015,0.0445,504,0.0295,NA,0.45,0.1105,14.05,8.13,31.9,0.0595
BN,2005,7,Jul 2005,NA,NA,NA,NA,0.0035,418,0.018000000000000002,NA,0.2,0.04,19.3,8.52,3.8000000000000003,NA
BN,2005,8,Aug 2005,NA,NA,NA,0.01,0.00675,343.3333333333333,0.02825,NA,0.3,0.01625,17.4,8.726666666666667,1.6,0.01675
BN,2005,9,Sep 2005,NA,NA,NA,0.01,0.0055,517.5,0.0055,NA,0.2,0.031,11.9,8.48,5.15,0.0155
BN,2005,10,Oct 2005,NA,NA,NA,NA,0.002,474,0.009,NA,0.2,0.032,11.8,8.4,NA,NA
BN,2005,11,Nov 2005,NA,NA,NA,NA,0.008,375,0.007,NA,0.2,0.025,1.8,NA,NA,NA
BN,2005,12,Dec 2005,NA,NA,NA,NA,0.179,534,0.005,NA,0.2,0.022,1.2,NA,NA,NA
BN,2006,6,Jun 2006,NA,NA,NA,0.016666666666666666,0.061,395,0.03225,NA,0.475,0.08925,17.8,8.273333333333333,11.083333333333332,0.07766666666666666
BN,2006,7,Jul 2006,NA,NA,NA,0.02,0.004,477,0.0095,NA,0.25,0.0185,21.1,8.315000000000001,1.685,0.024
BN,2006,8,Aug 2006,NA,NA,NA,0.02,0.004666666666666667,536.6666666666666,0.007,NA,0.2,0.009666666666666667,17,8.21,1.36,0.024666666666666667
BN,2006,9,Sep 2006,NA,NA,NA,0.01,0.003,547.5,0.0095,NA,0.4,0.023,14.5,8.48,5.5600000000000005,0.013000000000000001
BN,2007,6,Jun 2007,NA,NA,NA,0.02,0.047,NA,0.029750000000000002,NA,0.45,0.09875,NA,NA,NA,0.067
BN,2007,7,Jul 2007,NA,NA,NA,NA,0.01,NA,0.006500000000000001,NA,0.25,0.013,NA,NA,NA,NA
BN,2007,8,Aug 2007,NA,NA,NA,0.015,0.01,NA,0.005666666666666667,NA,0.3,0.016,NA,NA,NA,0.025
BN,2007,9,Sep 2007,NA,NA,NA,0.01,0.006999999999999999,NA,0.018,NA,0.30000000000000004,0.0325,NA,NA,NA,0.017
BN,2008,6,Jun 2008,NA,NA,NA,0.02,0.04733333333333333,272.55,NA,144.85000000000002,0.43333333333333335,0.09533333333333334,12.95,8.325,25.4,0.06733333333333333
BN,2008,7,Jul 2008,NA,NA,NA,0.02,0.004333333333333333,387.6666666666667,NA,206.03333333333333,0.23333333333333334,0.048,18.7,8.553333333333333,4.406666666666666,0.024333333333333332
BN,2008,8,Aug 2008,2008-08-01,103.72,112.75,NA,0.007333333333333333,491,NA,260.6666666666667,0.2,0.015,16.766666666666666,8.626666666666667,3.263333333333333,NA
BN,2008,9,Sep 2008,2008-09-01,61.085,259.4736842105263,0.01,0.005,470,NA,249.5,0.2,0.038,13.05,8.66,5.465,0.015
BN,2009,6,Jun 2009,NA,NA,NA,0.00785,0.02801,305,0.0319,162.2,NA,0.08696,15.9,8.35,14.9,0.03586
BN,2009,7,Jul 2009,NA,NA,NA,0.009456666666666667,0.0032925,367.6666666666667,0.02013,195.26666666666668,0.27525,0.0530075,18.133333333333333,8.176666666666668,8.693333333333333,0.012749166666666667
BN,2009,8,Aug 2009,2009-08-01,111.7,144.85714285714286,0.0075899999999999995,0.00903,430.3333333333333,0.011213333333333332,228.66666666666666,0.261,0.03639666666666667,18.9,8.46,5.6433333333333335,0.01662
BN,2009,9,Sep 2009,2009-09-06,56.35,225.61904761904762,0.011063333333333333,0.007983333333333334,472.6666666666667,0.010106666666666667,251,0.246,0.02404,16.766666666666666,8.373333333333333,3.64,0.019046666666666667
BN,2010,6,Jun 2010,NA,NA,NA,0.0202,0.062299999999999994,278,0.0348,148,0.424,0.11209999999999999,15.9,7.76,29.9,0.08249999999999999
BN,2010,7,Jul 2010,NA,NA,NA,0.009600000000000001,0.007575,363,0.022199999999999998,192.8,0.24125,0.0465,18.466666666666665,7.88,4.806666666666667,0.017175000000000003
BN,2010,8,Aug 2010,2010-08-01,68.6842105263158,61.98947368421053,0.0076500000000000005,0.003966666666666667,436,0.0206,231.33333333333334,0.21766666666666667,0.0363,19.733333333333334,8.073333333333332,2.79,0.011616666666666668
BN,2010,9,Sep 2010,2010-09-10,82.45,138.35714285714286,0.006,0.0029,455.6666666666667,0.0118,245,0.234,0.0292,14.3,8.206666666666667,3.6666666666666665,0.0089
BN,2011,6,Jun 2011,NA,NA,NA,0.020633333333333333,0.0193,256.65,0.0342,166.7,NA,0.09743333333333333,15.399999999999999,8.105,27.299999999999997,0.039933333333333335
BN,2011,7,Jul 2011,NA,NA,NA,0.010333333333333333,0.01786666666666667,299.7,0.025066666666666668,194.76666666666668,0.2793333333333333,0.068533333333333335,16.7,8.26,12.346666666666668,0.028200000000000003
BN,2011,8,Aug 2011,2011-08-01,16.444444444444443,34.875,0.0081,0.005233333333333333,373.1333333333333,0.0233,242.66666666666666,0.18233333333333332,0.0396,17.099999999999998,8.356666666666667,2.8166666666666664,0.013333333333333332
BN,2011,9,Sep 2011,2011-09-03,17.2,69.55555555555556,0.0062,0.00355,426.6,0.0194,277.25,0.2355,0.04135,13.05,8.43,3.7700000000000005,0.00975
BN,2012,6,Jun 2012,NA,NA,NA,0.01002,0.0030266666666666667,314.45000000000005,0.023540000000000002,204.45,0.27776,0.04162333333333333,14.5,8.370000000000001,5.56,0.013046666666666666
BN,2012,7,Jul 2012,2012-07-31,122.76190476190476,216.14285714285714,0.007776666666666667,0.0027700000000000003,408.6,0.0037733333333333334,265.66666666666663,0.25340666666666667,0.013036666666666667,19.266666666666666,8.42,1.72,0.010546666666666668
BN,2012,8,Aug 2012,NA,NA,NA,0.00976,0.009529999999999999,455.2,0.005866666666666667,295.9666666666667,0.31255,0.02282666666666667,17.5,8.206666666666667,3.65,0.019289999999999998
BN,2012,9,Sep 2012,2012-09-01,71.28571428571429,167.85,NA,0.0019900000000000004,473.75,0.00247,308.1,0.188365,0.011925,12.95,8.335,1.4900000000000002,NA
BN,2013,6,Jun 2013,2013-06-28,78.0952380952381,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BN,2013,7,Jul 2013,NA,NA,NA,0.018076666666666668,0.011175,446.4,0.00556,289.9,0.31027333333333335,0.015420000000000001,19,8.3,2.075,0.02925166666666667
BN,2013,8,Aug 2013,2013-08-04,60.61904761904762,111.95238095238095,0.010305,0.00236,507.5,0.0066300000000000005,329.9,0.21369500000000002,0.014075,17.55,8.315000000000001,2.455,0.012665
BN,2013,9,Sep 2013,2013-09-01,63.476190476190474,119.61904761904762,0.011295,0.001225,520,0.007010000000000001,338,0.236165,0.028765,15.75,8.280000000000001,7.23,0.01252
BN,2014,7,Jul 2014,NA,NA,NA,NA,0.004566666666666667,393.75,0.023366666666666664,256.1,0.24633333333333335,0.046233333333333335,18.4,8.165,6.715,NA
BN,2014,8,Aug 2014,2014-08-03,128.78636363636363,157.8181818181818,0.01765,0.00455,533,0.01725,346.45,0.2305,0.0335,18.65,8.25,3.1350000000000002,0.022199999999999998
BN,2014,8,Aug 2014,2014-08-31,27.247619047619047,99.57142857142857,0.01765,0.00455,533,0.01725,346.45,0.2305,0.0335,18.65,8.25,3.1350000000000002,0.022199999999999998
BN,2014,9,Sep 2014,NA,NA,NA,0.0089,0.0027,504.05,0.01185,327.6,0.243,0.02975,14.149999999999999,8.255,4.295,0.0116
BN,2015,7,Jul 2015,2015-07-01,97.76190476190476,68.9047619047619,0.00755,0.0023333333333333335,395,0.00245,256.75,0.24533333333333335,0.01,19.15,8.239999999999998,1.245,0.009883333333333334
BN,2015,8,Aug 2015,2015-08-01,151.9,179.15,0.01315,0.00285,504.25,0.0019,327.6,0.261,0.021150000000000002,16.25,8.215,4.165,0.016
BN,2015,9,Sep 2015,2015-09-07,26.523809523809526,57.04761904761905,0.0144,0.0017000000000000001,479.75,0.005050000000000001,311.7,0.3535,0.037,13,8.355,7.275,0.0161
BN,2016,7,Jul 2016,2016-07-05,221.86045454545456,181.1818181818182,0.008033333333333333,0.0016333333333333334,465.15,0.0012333333333333332,302.3,0.21166666666666667,0.008799999999999999,17.3,8.135,0.94,0.009666666666666667
BN,2016,7,Jul 2016,2016-07-30,115.64666666666666,191.46666666666667,0.008033333333333333,0.0016333333333333334,465.15,0.0012333333333333332,302.3,0.21166666666666667,0.008799999999999999,17.3,8.135,0.94,0.009666666666666667
BN,2016,8,Aug 2016,NA,NA,NA,0.04064999999999999,0.03175,490.3,0.0057,318.79999999999995,0.5415000000000001,0.07645,16,8.3,34.135,0.07239999999999999
BN,2016,9,Sep 2016,2016-09-04,60.10454545454545,96.27272727272727,0.0191,0.0023,496.95,0.00775,323.05,0.28800000000000003,0.04775,13,8.52,9.524999999999999,0.0214
BN,2017,7,Jul 2017,2017-07-05,24.08235294117647,21.735294117647058,0.01745,0.004699999999999999,445.25,0.01265,289.55,0.22499999999999998,0.033049999999999996,19.85,8.260000000000002,2.985,0.02215
BN,2017,8,Aug 2017,2017-08-02,16.042857142857144,25.86190476190476,0.015199999999999998,0.00695,507.45,0.00195,329.85,0.27249999999999996,0.0147,17.85,8.305,1.64,0.022149999999999996
BN,2017,9,Sep 2017,2017-09-03,31.16190476190476,58.452380952380956,0.0114,0.010950000000000001,506.3,0.006750000000000001,329.20000000000005,0.3345,0.032799999999999996,12.9,8.225,5.275,0.022350000000000002
BN,2018,7,Jul 2018,NA,NA,NA,0.0154,0.005525,370.45000000000005,0.01753333333333333,240.8,0.24133333333333332,0.04613333333333333,20.5,8.215,5.755000000000001,0.020925
BN,2018,8,Aug 2018,2018-08-04,27.97142857142857,24.37142857142857,0.0089,0.0047,447.65,0.011799999999999998,291.2,0.21600000000000003,0.03365,17.95,8.385,2,0.013600000000000001
BN,2018,9,Sep 2018,2018-09-04,14.676190476190476,65.22857142857143,0.03285,0.0043,459.65,0.00245,299,0.24,0.02185,15.149999999999999,8.455,2.8,0.037149999999999996
BN,2019,7,Jul 2019,2019-07-14,123.42421052631579,77.55578947368421,0.01365,0.005,423.5,0.039,275.275,0.185,0.0445,18.65,8.58,4.51,0.01865
BN,2019,7,Jul 2019,2019-07-31,35.377538461538464,63.46923076923077,0.01365,0.005,423.5,0.039,275.275,0.185,0.0445,18.65,8.58,4.51,0.01865
BN,2019,8,Aug 2019,2019-08-30,55.81333333333333,117.65,0.03,0.003,412,0.02666666666666667,265.85,0.19,0.027666666666666666,20.75,8.629999999999999,3.61,0.033
BN,2019,9,Sep 2019,NA,NA,NA,0.016666666666666666,0.0235,468.04999999999995,0.033,305.7,0.31,0.1265,15.3,8.345,29.325,0.04016666666666667
BN,2020,7,Jul 2020,2020-07-24,77.21176470588236,55.5865,NA,NA,378.8,0.009,NA,0.15,0.027,19.5,8.195,5.015000000000001,NA
BN,2020,8,Aug 2020,2020-08-05,27.51904761904762,69.39333333333333,NA,NA,481.15,0.0085,NA,0.20500000000000002,0.0175,19.549999999999997,8.4,3.015,NA
BN,2020,9,Sep 2020,2020-09-01,29.92238095238095,144.49333333333334,0.02,NA,479.45,0.011,NA,0.175,0.024999999999999998,13.45,8.23,5.26,NA
BN,2021,7,Jul 2021,2021-07-13,137.13636363636363,186.27272727272728,0.03,0.005,548.7,0.005,NA,0.23,0.0175,21.65,8.670000000000002,2.6100000000000003,0.034999999999999996
BN,2021,8,Aug 2021,2021-08-03,96.42857142857143,185,0.02,NA,513.45,NA,NA,0.2,0.019,19.9,8.655000000000001,4.595,NA
BN,2021,9,Sep 2021,2021-09-01,66.61904761904762,185.76190476190476,0.02,NA,528.4,8e-4,NA,0.18,0.0195,11.95,8.45,4.66,NA
BN,2021,10,Oct 2021,NA,NA,NA,0.01,NA,NA,9e-4,NA,0.18,0.022,NA,NA,NA,NA
BN,2022,7,Jul 2022,2022-07-15,62.61904761904762,66.88216666666666,NA,0.021,441,0.022500000000000003,NA,0.21,0.06,22.05,8.395,8.14,NA
BN,2022,8,Aug 2022,2022-08-03,39.714285714285715,145.04828095238096,0.013333333333333334,0.005,519.9,0.0036666666666666666,NA,0.17666666666666667,0.019333333333333334,22.4,8.475000000000001,4.39,0.018333333333333333
BN,2022,9,Sep 2022,2022-09-01,43.23809523809524,87.89594761904762,NA,NA,531.9000000000001,0.00145,NA,0.22000000000000003,0.0165,16.55,8.395,4.03,NA
BN,2023,7,Jul 2023,2023-07-18,43.23952380952381,51.19285714285714,NA,NA,424.25,0.010499999999999999,NA,0.2,0.0325,20.15,8.5,NA,NA
BN,2023,8,Aug 2023,2023-08-01,27.597619047619048,97.45380952380953,NA,NA,486,0.0045000000000000005,NA,0.24,0.025,21.35,8.6,NA,NA
BN,2023,9,Sep 2023,2023-09-02,35.794285714285714,107.83,0.04,NA,506,0.0025,NA,0.215,0.020999999999999998,17.15,8.68,NA,NA
BN,2025,7,Jul 2025,2025-07-25,53.120155038759684,129.38508527131788,NA,0.0055,462.7,0.0015,NA,0.2,0.0158,NA,8.74,NA,NA
BN,2025,8,Aug 2025,2025-08-14,67.24806201550386,152.53575193798446,NA,0.006,492.3,NA,NA,0.17333333333333334,0.017666666666666667,NA,8.665,NA,NA
BN,2025,9,Sep 2025,2025-09-10,56.02713178294572,126.61544186046507,NA,NA,496.4,NA,NA,0.58,0.011,NA,8.45,NA,NA
DL,1998,6,Jun 1998,NA,NA,NA,NA,NA,NA,0.003,NA,NA,0.034,NA,NA,NA,NA
DL,1998,7,Jul 1998,NA,NA,NA,NA,0.03,NA,0.015,NA,0.3,0.059,NA,NA,NA,NA
DL,1998,8,Aug 1998,NA,NA,NA,NA,0.02,NA,0.018,NA,1.1,0.072,NA,NA,NA,NA
DL,1998,9,Sep 1998,NA,NA,NA,NA,0.03,486,NA,246,0.2,0.012,18.8,8.22,NA,NA
DL,1998,10,Oct 1998,NA,NA,NA,NA,0.03,433,0.008,218,NA,0.03,8.9,7.99,NA,NA
DL,1998,11,Nov 1998,NA,NA,NA,NA,0.18,432,0.005,217,0.4,0.02,6.2,8.37,NA,NA
DL,1998,12,Dec 1998,NA,NA,NA,NA,0.36,501,NA,253,0.1,0.02,4.8,7.92,NA,NA
DL,1999,1,Jan 1999,NA,NA,NA,NA,0.41,596,0.02,298,NA,0.032,0.8,7.46,NA,NA
DL,1999,3,Mar 1999,NA,NA,NA,NA,0.23,295,0.003,154,0.3,0.071,6.2,8.45,NA,NA
DL,1999,4,Apr 1999,NA,NA,NA,NA,0.3,500,0.009,266,0.2,0.068,8.4,7.78,NA,NA
DL,1999,5,May 1999,NA,NA,NA,NA,0.16,417.5,0.008,211.5,0.3,0.075,15.100000000000001,7.435,NA,NA
DL,1999,6,Jun 1999,NA,NA,NA,0.04,0.13,227,0.009,118,0.3,0.08,21,6.76,NA,0.17
DL,1999,7,Jul 1999,NA,NA,NA,0.02,0.02,339,0.003,167,0.2,0.036,24,7.67,NA,0.04
DL,1999,8,Aug 1999,NA,NA,NA,0.03,0.12,429,0.026,216,0.4,0.064,22.6,7.44,NA,0.15
DL,1999,9,Sep 1999,NA,NA,NA,NA,0.11,NA,0.002,NA,0.3,0.025,NA,NA,NA,NA
DL,1999,10,Oct 1999,NA,NA,NA,0.14,0.25,486,0.004,244,0.3,0.033,8.7,7.41,NA,0.39
DL,1999,11,Nov 1999,NA,NA,NA,0.04,0.25,562,0.006,281,0.3,0.024,6.7,NA,NA,0.29
DL,1999,12,Dec 1999,NA,NA,NA,0.03,0.39,508,0.004,253,0.3,0.024,2.3,7.17,NA,0.42000000000000004
DL,2000,1,Jan 2000,NA,NA,NA,0.02,0.55,525,0.004,263,0.2,0.039,4.6,NA,NA,0.5700000000000001
DL,2000,2,Feb 2000,NA,NA,NA,0.03,0.36,185,0.002,242,0.3,0.045,3.4,7.7,NA,0.39
DL,2000,3,Mar 2000,NA,NA,NA,0.02,0.29,461,0.007,230,0.2,0.022,5.9,8.28,NA,0.31
DL,2000,5,May 2000,NA,NA,NA,0.045000000000000005,0.065,491.5,0.009000000000000001,246,0.2,0.0235,13.75,7.91,3.02,0.11000000000000001
DL,2000,6,Jun 2000,NA,NA,NA,0.02,0.04,389,0.004,196,0.3,0.03,NA,8.55,4.5,0.06
DL,2000,7,Jul 2000,NA,NA,NA,0.13,0.09,524,0.005,262,0.3,0.024,18.5,8.45,4.07,0.22
DL,2000,8,Aug 2000,NA,NA,NA,NA,0.15,562,0.006,281,0.2,0.021,18.4,8.43,NA,NA
DL,2000,9,Sep 2000,NA,NA,NA,0.02,0.09,517,0.005,273,0.3,0.031,16.1,8.49,NA,0.11
DL,2000,10,Oct 2000,NA,NA,NA,NA,0.14,598,0.005,299,0.3,0.027,10.8,8.44,4.45,NA
DL,2000,11,Nov 2000,NA,NA,NA,0.02,0.95,500,0.005,250,0.2,0.031,3,8.1,2.42,0.97
DL,2000,12,Dec 2000,NA,NA,NA,0.02,0.49,567,0.008,284,0.2,0.025,5.5,8.17,2.6,0.51
DL,2001,1,Jan 2001,NA,NA,NA,0.02,0.57,533,0.007,266,0.3,0.033,3.1,8.15,3.97,0.59
DL,2001,2,Feb 2001,NA,NA,NA,0.07,0.636,598,0.009,299,0.2,0.031,0.5,8.26,NA,0.706
DL,2001,4,Apr 2001,NA,NA,NA,0.015,0.247,559,0.006999999999999999,NA,0.25,0.039,9.3,8.5,5.789999999999999,0.262
DL,2001,5,May 2001,NA,NA,NA,NA,0.08,431,0.002,215,0.3,0.025,14,8.05,NA,NA
DL,2001,6,Jun 2001,NA,NA,NA,NA,0.0505,466,0.002,234,0.1,0.025,16.5,8.65,NA,NA
DL,2001,7,Jul 2001,NA,NA,NA,0.02,0.125,515,0.007,258,0.4,0.048,18,8.65,NA,0.145
DL,2001,8,Aug 2001,NA,NA,NA,NA,0.0965,522,0.006500000000000001,262,0.2,0.014,18.7,8.45,2.05,NA
DL,2001,9,Sep 2001,NA,NA,NA,NA,0.08199999999999999,512,0.0025,256,0.2,0.009,15.7,8.95,1.72,NA
DL,2001,10,Oct 2001,NA,NA,NA,NA,0.1015,54,0.003,272,0.35,0.009,6.8,8.27,4.4,NA
DL,2001,11,Nov 2001,NA,NA,NA,0.02,0.20750000000000002,541,0.0035,271,0.3,0.025500000000000002,6.8,8.24,4.01,0.2275
DL,2001,12,Dec 2001,NA,NA,NA,0.02,0.4165,523,0.006,268,0.3,0.02,1.9,7.77,4.04,0.4365
DL,2002,1,Jan 2002,NA,NA,NA,0.02,0.435,538,0.006,271,0.2,0.02,1.2,8.62,2.87,0.455
DL,2002,3,Mar 2002,NA,NA,NA,0.02,0.468,566,0.004,284,0.3,0.037,1.7,7.98,6.05,0.48800000000000004
DL,2002,4,Apr 2002,NA,NA,NA,0.02,0.20500000000000002,534.5,0.003,269,0.4,0.0335,7.75,8.149999999999999,7.315,0.225
DL,2002,5,May 2002,NA,NA,NA,0.02,0.03,475,0.003,238,0.3,0.026,13.5,8.05,6.23,0.05
DL,2002,6,Jun 2002,NA,NA,NA,0.02,0.02,363,0.003,184,0.4,0.018,16.8,8.72,8.61,0.04
DL,2002,7,Jul 2002,NA,NA,NA,0.02,0.06,471,0.01,236,0.1,0.019,21.9,8.44,3.75,0.08
DL,2002,8,Aug 2002,NA,NA,NA,0.02,0.07,498,0.007,252,0.2,0.019,15.8,8.75,1.09,0.09000000000000001
DL,2002,9,Sep 2002,NA,NA,NA,NA,0.06,503,0.003,252,0.2,0.022,12.6,8.31,1.79,NA
DL,2003,6,Jun 2003,NA,NA,NA,0.025,0.089,313,0.0195,167.9,0.4,0.057,16.4,7.88,9.72,0.11399999999999999
DL,2003,7,Jul 2003,NA,NA,NA,0.02,0.1115,441,0.006999999999999999,234.5,0.5,0.022,21.2,8.095,2.36,0.1315
DL,2003,8,Aug 2003,NA,NA,NA,0.02,0.13375,516.3333333333334,0.0036666666666666666,274.1666666666667,0.275,0.016,19.566666666666666,7.98,1.6333333333333333,0.15375
DL,2003,9,Sep 2003,NA,NA,NA,0.02,0.16133333333333333,504,0.0036666666666666666,268,0.3666666666666667,0.018666666666666665,14.133333333333333,8.29,3.3866666666666667,0.18133333333333332
DL,2004,5,May 2004,NA,NA,NA,0.01,0.114,486,0.004,NA,0.3,0.026,11.6,8.16,3.26,0.124
DL,2004,6,Jun 2004,NA,NA,NA,0.015,0.03175,400.6666666666667,0.00575,NA,0.5,0.036000000000000004,16.46666666666667,8.379999999999999,6.453333333333333,0.04675
DL,2004,7,Jul 2004,NA,NA,NA,0.02,0.14450000000000002,487.5,0.0035,NA,0.35,0.016,19.450000000000003,8.26,2.56,0.1645
DL,2004,8,Aug 2004,NA,NA,NA,0.01,0.33299999999999996,529,0.006,NA,0.35,0.035500000000000004,16.05,8.280000000000001,8.504999999999999,0.34299999999999997
DL,2004,9,Sep 2004,NA,NA,NA,NA,0.1955,524.5,0.004,NA,0.30000000000000004,0.026,12.4,8.225,5.904999999999999,NA
DL,2005,1,Jan 2005,NA,NA,NA,0.04,0.513,440,0.017,NA,0.5,0.05,2.9,7.31,19.7,0.553
DL,2005,2,Feb 2005,NA,NA,NA,NA,0.375,537,0.008,NA,0.2,0.04,1.5,7.76,6.8,NA
DL,2005,3,Mar 2005,NA,NA,NA,NA,0.336,472,0.005,NA,0.4,0.034,4.7,8.3,8.3,NA
DL,2005,4,Apr 2005,NA,NA,NA,NA,0.249,589,0.007,NA,0.2,0.021,9.2,7.82,5.3,NA
DL,2005,5,May 2005,NA,NA,NA,NA,0.127,540,0.013,NA,0.8,0.096,12.3,7.9,20.8,NA
DL,2005,6,Jun 2005,NA,NA,NA,0.01,0.051000000000000004,554.5,0.026000000000000002,NA,0.45,0.078,14.25,8.13,11.5,0.061000000000000006
DL,2005,7,Jul 2005,NA,NA,NA,NA,0.013999999999999999,404.5,0.0095,NA,0.30000000000000004,0.024,18.9,8.32,2.7,NA
DL,2005,8,Aug 2005,NA,NA,NA,NA,0.07266666666666666,453.6666666666667,0.04833333333333333,NA,0.3,0.018666666666666665,16.8,8.62,1.8,NA
DL,2005,9,Sep 2005,NA,NA,NA,0.015,0.05933333333333333,509,0.0033333333333333335,NA,0.15000000000000002,0.022666666666666665,10.25,8.754999999999999,4.6,0.07433333333333333
DL,2005,10,Oct 2005,NA,NA,NA,NA,0.01,528,0.002,NA,0.4,0.022,9.4,8.1,NA,NA
DL,2005,11,Nov 2005,NA,NA,NA,NA,0.225,425,0.003,NA,0.3,0.042,0,NA,NA,NA
